iter	Passed	Remaining
0	1	116
1	2	116
2	4	138
3	5	142
4	8	154
5	10	157
6	12	161
7	14	163
8	16	162
9	17	160
10	18	152
11	20	150
12	22	148
13	23	144
14	24	141
15	26	138
16	27	135
17	29	133
18	30	130
19	31	127
20	32	123
21	33	119
22	35	117
23	36	115
24	37	112
25	38	110
26	39	107
27	40	105
28	42	103
29	43	101
30	44	98
31	45	96
32	46	93
33	47	91
34	47	88
35	48	86
36	49	84
37	50	82
38	51	79
39	51	77
40	52	75
41	52	73
42	53	71
43	54	69
44	55	67
45	55	65
46	56	63
47	57	62
48	58	60
49	59	59
50	59	57
51	60	56
52	61	54
53	62	53
54	63	51
55	64	50
56	64	48
57	65	47
58	66	46
59	67	44
60	68	43
61	68	42
62	69	40
63	70	39
64	71	38
65	72	37
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	76	29
72	77	28
73	78	27
74	79	26
75	79	25
76	80	24
77	81	22
78	82	21
79	82	20
80	83	19
81	84	18
82	85	17
83	85	16
84	86	15
85	87	14
86	88	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	92	6
93	93	5
94	94	4
95	95	3
96	95	2
97	96	1
98	97	0
99	98	0
