iter	Passed	Remaining
0	167	167444
1	169	84800
2	172	57221
3	174	43332
4	178	35451
5	181	29986
6	184	26115
7	186	23175
8	190	21023
9	193	19160
10	196	17663
11	198	16319
12	199	15180
13	202	14254
14	204	13449
15	206	12675
16	208	12030
17	209	11451
18	211	10906
19	212	10393
20	213	9938
21	214	9552
22	216	9213
23	218	8884
24	219	8566
25	220	8269
26	222	8004
27	223	7749
28	224	7502
29	224	7270
30	225	7054
31	226	6854
32	227	6675
33	229	6507
34	230	6350
35	231	6204
36	233	6066
37	234	5932
38	235	5808
39	236	5680
40	237	5563
41	238	5449
42	239	5335
43	240	5227
44	241	5128
45	242	5028
46	243	4931
47	244	4846
48	245	4767
49	246	4690
50	247	4612
51	249	4541
52	249	4465
53	250	4395
54	251	4329
55	253	4266
56	254	4212
57	255	4150
58	256	4089
59	257	4029
60	258	3974
61	259	3927
62	260	3874
63	261	3829
64	263	3789
65	264	3741
66	265	3694
67	266	3649
68	266	3602
69	267	3558
70	268	3517
71	269	3476
72	270	3437
73	271	3400
74	272	3365
75	274	3339
76	275	3306
77	277	3277
78	278	3246
79	279	3212
80	280	3181
81	281	3150
82	282	3116
83	283	3090
84	284	3064
85	285	3034
86	286	3005
87	287	2978
88	288	2956
89	290	2932
90	291	2911
91	292	2887
92	293	2863
93	294	2840
94	295	2818
95	296	2796
96	298	2774
97	299	2753
98	300	2731
99	300	2708
100	302	2690
101	304	2679
102	306	2666
103	307	2650
104	308	2631
105	309	2612
106	310	2592
107	311	2572
108	312	2552
109	313	2534
110	314	2516
111	315	2500
112	316	2487
113	319	2480
114	320	2465
115	321	2448
116	322	2431
117	324	2426
118	325	2412
119	327	2398
120	328	2383
121	328	2366
122	329	2350
123	330	2336
124	331	2321
125	333	2311
126	334	2299
127	336	2291
128	337	2281
129	338	2268
130	339	2254
131	340	2240
132	341	2227
133	342	2214
134	343	2202
135	344	2189
136	345	2176
137	346	2164
138	348	2156
139	349	2147
140	351	2140
141	352	2127
142	353	2116
143	354	2105
144	355	2093
145	355	2081
146	356	2070
147	357	2058
148	358	2047
149	359	2036
150	360	2024
151	361	2014
152	362	2004
153	363	1998
154	365	1993
155	366	1984
156	367	1974
157	368	1964
158	369	1955
159	370	1946
160	371	1934
161	372	1925
162	373	1916
163	374	1907
164	375	1899
165	376	1889
166	377	1885
167	379	1879
168	380	1872
169	382	1866
170	383	1858
171	384	1851
172	385	1842
173	386	1835
174	387	1828
175	388	1819
176	389	1812
177	390	1803
178	393	1803
179	394	1797
180	396	1793
181	397	1787
182	398	1780
183	399	1773
184	401	1766
185	402	1759
186	402	1751
187	403	1743
188	404	1735
189	405	1728
190	406	1721
191	408	1718
192	410	1714
193	411	1708
194	412	1701
195	413	1695
196	414	1687
197	415	1681
198	416	1674
199	417	1668
200	418	1662
201	419	1655
202	420	1649
203	420	1642
204	423	1640
205	424	1635
206	425	1631
207	427	1626
208	428	1619
209	428	1613
210	429	1606
211	430	1600
212	431	1594
213	432	1588
214	433	1583
215	434	1576
216	435	1570
217	436	1564
218	438	1562
219	439	1557
220	440	1553
221	441	1548
222	442	1543
223	444	1539
224	445	1533
225	446	1528
226	447	1523
227	448	1518
228	449	1513
229	450	1507
230	451	1503
231	453	1500
232	454	1497
233	455	1492
234	456	1487
235	458	1482
236	459	1477
237	460	1473
238	461	1468
239	462	1465
240	463	1461
241	464	1456
242	466	1452
243	467	1449
244	469	1445
245	470	1442
246	471	1437
247	472	1432
248	473	1427
249	474	1422
250	475	1417
251	475	1412
252	476	1408
253	477	1403
254	478	1398
255	479	1393
256	481	1391
257	482	1388
258	484	1384
259	485	1381
260	486	1376
261	487	1372
262	488	1368
263	489	1365
264	490	1361
265	491	1356
266	492	1352
267	493	1348
268	495	1346
269	497	1344
270	498	1341
271	499	1337
272	500	1332
273	501	1329
274	502	1325
275	504	1322
276	504	1317
277	505	1314
278	506	1309
279	507	1305
280	508	1301
281	509	1297
282	511	1295
283	512	1291
284	513	1288
285	514	1285
286	515	1281
287	516	1278
288	518	1274
289	520	1273
290	521	1270
291	523	1268
292	524	1266
293	526	1264
294	527	1261
295	529	1258
296	531	1257
297	532	1255
298	534	1252
299	535	1250
300	536	1246
301	537	1242
302	539	1242
303	541	1239
304	542	1236
305	543	1233
306	545	1230
307	546	1227
308	547	1223
309	548	1219
310	548	1216
311	550	1212
312	551	1209
313	552	1206
314	552	1202
315	554	1199
316	555	1197
317	557	1196
318	558	1193
319	560	1190
320	561	1188
321	562	1185
322	563	1181
323	564	1177
324	565	1174
325	566	1170
326	567	1167
327	567	1163
328	569	1160
329	570	1159
330	572	1156
331	573	1154
332	574	1151
333	575	1148
334	576	1144
335	577	1141
336	578	1138
337	579	1134
338	580	1130
339	580	1127
340	581	1124
341	582	1120
342	583	1117
343	586	1118
344	587	1115
345	589	1113
346	589	1110
347	590	1106
348	591	1103
349	592	1099
350	592	1096
351	593	1093
352	594	1089
353	595	1086
354	596	1083
355	596	1079
356	597	1076
357	598	1073
358	600	1072
359	601	1070
360	603	1068
361	604	1066
362	605	1063
363	606	1060
364	607	1057
365	608	1054
366	609	1051
367	610	1048
368	611	1045
369	612	1042
370	613	1039
371	614	1038
372	616	1036
373	618	1034
374	619	1032
375	620	1029
376	620	1026
377	621	1023
378	622	1020
379	623	1017
380	624	1014
381	624	1011
382	625	1008
383	626	1005
384	627	1002
385	628	999
386	629	997
387	631	995
388	632	993
389	633	991
390	634	989
391	635	986
392	636	983
393	637	980
394	638	978
395	639	975
396	640	972
397	641	969
398	641	966
399	642	963
400	643	961
401	645	960
402	646	958
403	648	956
404	649	954
405	650	951
406	651	948
407	651	946
408	652	943
409	653	940
410	654	937
411	655	935
412	655	932
413	656	929
414	657	927
415	658	924
416	661	924
417	662	922
418	663	920
419	664	917
420	665	915
421	666	912
422	667	910
423	668	907
424	669	905
425	669	902
426	671	900
427	672	898
428	672	895
429	674	893
430	675	892
431	677	890
432	678	888
433	679	886
434	680	883
435	681	881
436	682	878
437	682	876
438	683	873
439	684	871
440	685	868
441	685	865
442	686	863
443	687	860
444	688	858
445	690	857
446	692	856
447	693	854
448	694	852
449	695	849
450	696	847
451	697	845
452	697	842
453	699	840
454	700	839
455	701	836
456	702	834
457	702	831
458	704	830
459	706	829
460	707	827
461	708	825
462	709	823
463	710	820
464	711	818
465	712	816
466	713	813
467	713	811
468	714	809
469	715	806
470	716	804
471	717	802
472	718	800
473	720	799
474	722	798
475	723	796
476	724	794
477	726	792
478	726	790
479	727	788
480	728	786
481	729	784
482	730	781
483	731	779
484	732	777
485	733	776
486	735	774
487	736	773
488	738	771
489	739	769
490	740	767
491	741	765
492	741	762
493	742	760
494	743	758
495	744	756
496	745	754
497	745	751
498	746	749
499	747	747
500	748	745
501	750	744
502	751	742
503	752	740
504	754	739
505	755	737
506	756	735
507	756	733
508	758	731
509	759	729
510	759	727
511	760	725
512	761	722
513	762	721
514	763	719
515	767	719
516	768	717
517	769	716
518	771	714
519	772	712
520	773	711
521	774	709
522	775	707
523	776	705
524	777	703
525	778	701
526	780	700
527	781	698
528	782	697
529	783	695
530	784	692
531	785	691
532	786	689
533	787	687
534	788	685
535	789	683
536	789	681
537	790	679
538	791	677
539	792	675
540	793	673
541	795	671
542	796	670
543	797	668
544	798	666
545	799	664
546	800	662
547	801	660
548	802	659
549	803	657
550	804	655
551	805	653
552	806	651
553	807	649
554	808	648
555	810	647
556	811	645
557	812	643
558	813	641
559	815	640
560	816	638
561	817	636
562	817	634
563	818	633
564	819	631
565	820	629
566	821	627
567	822	625
568	824	624
569	826	623
570	827	621
571	828	619
572	829	617
573	830	616
574	831	614
575	832	612
576	833	610
577	834	609
578	835	607
579	836	605
580	837	603
581	837	601
582	839	600
583	841	599
584	842	597
585	843	596
586	844	594
587	845	592
588	846	590
589	847	589
590	848	587
591	849	585
592	850	583
593	851	581
594	852	580
595	852	578
596	853	576
597	855	575
598	856	573
599	857	571
600	858	570
601	859	568
602	860	566
603	861	564
604	862	562
605	863	561
606	864	559
607	865	557
608	866	556
609	867	554
610	868	552
611	869	551
612	871	550
613	872	548
614	873	546
615	874	545
616	875	543
617	876	541
618	877	540
619	879	538
620	880	537
621	881	535
622	881	533
623	882	531
624	883	529
625	885	528
626	886	527
627	887	525
628	888	523
629	889	522
630	890	520
631	891	518
632	892	517
633	893	515
634	894	513
635	895	512
636	896	510
637	897	509
638	898	507
639	900	506
640	901	504
641	902	503
642	903	501
643	903	499
644	904	498
645	905	496
646	906	494
647	907	493
648	908	491
649	909	489
650	910	488
651	911	486
652	912	484
653	912	483
654	914	481
655	915	480
656	916	478
657	917	477
658	918	475
659	919	473
660	920	472
661	921	470
662	922	468
663	923	467
664	924	465
665	924	463
666	925	462
667	926	460
668	927	458
669	928	457
670	929	455
671	931	454
672	932	453
673	933	451
674	934	449
675	935	448
676	936	446
677	937	445
678	937	443
679	938	441
680	939	440
681	940	438
682	941	436
683	942	435
684	942	433
685	944	432
686	946	431
687	947	429
688	948	428
689	949	426
690	950	425
691	951	423
692	952	421
693	953	420
694	954	418
695	955	417
696	956	415
697	956	414
698	957	412
699	959	411
700	960	409
701	962	408
702	963	406
703	963	405
704	964	403
705	965	402
706	966	400
707	967	399
708	968	397
709	969	395
710	970	394
711	971	392
712	972	391
713	974	390
714	975	388
715	976	387
716	977	385
717	979	384
718	980	383
719	981	381
720	982	380
721	983	378
722	984	377
723	985	375
724	986	374
725	987	372
726	990	371
727	991	370
728	992	368
729	993	367
730	994	365
731	995	364
732	996	363
733	997	361
734	998	360
735	1000	358
736	1001	357
737	1002	355
738	1004	354
739	1005	353
740	1007	352
741	1008	350
742	1009	349
743	1011	348
744	1012	346
745	1013	345
746	1015	343
747	1016	342
748	1017	340
749	1019	339
750	1020	338
751	1022	337
752	1023	335
753	1025	334
754	1027	333
755	1029	332
756	1029	330
757	1031	329
758	1033	328
759	1034	326
760	1036	325
761	1037	324
762	1038	322
763	1040	321
764	1041	319
765	1042	318
766	1043	317
767	1044	315
768	1045	314
769	1046	312
770	1048	311
771	1050	310
772	1051	308
773	1052	307
774	1054	306
775	1054	304
776	1056	303
777	1057	301
778	1058	300
779	1059	298
780	1060	297
781	1063	296
782	1064	295
783	1065	293
784	1067	292
785	1068	290
786	1071	289
787	1072	288
788	1073	286
789	1074	285
790	1076	284
791	1079	283
792	1081	282
793	1082	280
794	1083	279
795	1085	278
796	1086	276
797	1087	275
798	1089	274
799	1090	272
800	1092	271
801	1093	270
802	1095	268
803	1096	267
804	1097	265
805	1098	264
806	1099	263
807	1101	261
808	1102	260
809	1103	258
810	1104	257
811	1105	256
812	1107	254
813	1109	253
814	1110	252
815	1112	250
816	1113	249
817	1114	247
818	1115	246
819	1116	245
820	1117	243
821	1119	242
822	1120	241
823	1122	239
824	1123	238
825	1125	237
826	1126	235
827	1129	234
828	1130	233
829	1132	231
830	1133	230
831	1134	229
832	1136	227
833	1137	226
834	1139	225
835	1140	223
836	1141	222
837	1143	220
838	1143	219
839	1144	218
840	1145	216
841	1146	215
842	1147	213
843	1149	212
844	1150	211
845	1152	209
846	1153	208
847	1154	206
848	1156	205
849	1157	204
850	1158	202
851	1158	201
852	1159	199
853	1160	198
854	1161	197
855	1162	195
856	1163	194
857	1164	192
858	1165	191
859	1167	190
860	1169	188
861	1170	187
862	1171	185
863	1172	184
864	1173	183
865	1174	181
866	1174	180
867	1175	178
868	1176	177
869	1177	175
870	1178	174
871	1179	173
872	1180	171
873	1182	170
874	1183	169
875	1184	167
876	1185	166
877	1186	164
878	1187	163
879	1187	161
880	1188	160
881	1189	159
882	1190	157
883	1191	156
884	1191	154
885	1192	153
886	1193	152
887	1194	150
888	1195	149
889	1197	147
890	1198	146
891	1199	145
892	1200	143
893	1201	142
894	1202	141
895	1203	139
896	1204	138
897	1205	136
898	1205	135
899	1206	134
900	1207	132
901	1208	131
902	1208	129
903	1209	128
904	1210	127
905	1212	125
906	1213	124
907	1214	123
908	1215	121
909	1216	120
910	1217	118
911	1218	117
912	1219	116
913	1219	114
914	1220	113
915	1221	112
916	1222	110
917	1222	109
918	1223	107
919	1224	106
920	1225	105
921	1226	103
922	1228	102
923	1229	101
924	1230	99
925	1230	98
926	1231	96
927	1232	95
928	1233	94
929	1234	92
930	1234	91
931	1235	90
932	1236	88
933	1237	87
934	1238	86
935	1238	84
936	1239	83
937	1240	82
938	1242	80
939	1243	79
940	1244	78
941	1245	76
942	1245	75
943	1246	73
944	1247	72
945	1248	71
946	1248	69
947	1249	68
948	1250	67
949	1251	65
950	1251	64
951	1252	63
952	1253	61
953	1254	60
954	1255	59
955	1255	57
956	1257	56
957	1258	55
958	1259	53
959	1260	52
960	1261	51
961	1262	49
962	1262	48
963	1263	47
964	1264	45
965	1265	44
966	1265	43
967	1266	41
968	1267	40
969	1268	39
970	1269	37
971	1269	36
972	1270	35
973	1271	33
974	1273	32
975	1273	31
976	1275	30
977	1275	28
978	1276	27
979	1278	26
980	1279	24
981	1279	23
982	1280	22
983	1281	20
984	1282	19
985	1283	18
986	1284	16
987	1285	15
988	1285	14
989	1287	13
990	1288	11
991	1289	10
992	1290	9
993	1291	7
994	1291	6
995	1292	5
996	1293	3
997	1294	2
998	1295	1
999	1296	0
